DateRec,PlantCode,RoomCode,GroupCode,MachCode,OrderCode,StyleCode,StSize,StColor,StLot,TimeOn,TimeOff,Pieces,OrderPieces,TargetPieces,Discards,Cycle,Condition,Shift,RespoCode,Reason,OrderDiscards,DateStartShift,BalancingCode,LinkProgram,NameProg1,TargetProg1,PiecesProg1,CycleTimeProg1,NameProg2,TargetProg2,PiecesProg2,CycleTimeProg2,NameProg3,TargetProg3,PiecesProg3,CycleTimeProg3,NameProg4,TargetProg4,PiecesProg4,CycleTimeProg4,NameProg5,TargetProg5,PiecesProg5,CycleTimeProg5,MachineId,ShiftDisabled,ManualStopInProd,ModelCode
2020-07-29 12:37:41.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",9,"                        ","CQ0301        03        ","                ","                ","                ",1502,159,5,5675,0,1,298,7,1,"1                             ",4,556,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 12:40:05.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",8,"                        ","CQ0301        03        ","                ","                ","                ",1119,337,4,6048,0,1,297,5,1,"1                             ",4,305,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 12:47:35.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",15,"                        ","CQ0301        02        ","                ","                ","                ",14262,730,53,11972,0,2,261,5,1,"1                             ",4,538,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 12:49:49.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",14,"                        ","CQ0301        03        ","                ","                ","                ",1801,1930,6,6228,0,1,298,5,1,"1                             ",4,556,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 12:49:57.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",21,"                        ","s5277-4b      02        ","                ","                ","                ",8684,3373,43,9875,0,1,201,8,1,"1                             ",4,297,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 12:56:42.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",3209,1810,16,8324,0,2,201,4,1,"1                             ",4,238,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:06:15.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",3,"                        ","CQ0301        04        ","                ","                ","                ",3135,191,8,7989,0,1,328,5,1,"1                             ",4,558,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:06:48.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",21,"                        ","s5277-4b      02        ","                ","                ","                ",822,189,4,9879,0,1,202,8,1,"1                             ",4,298,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:10:51.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",9,"                        ","CQ0301        03        ","                ","                ","                ",1655,335,5,5680,0,2,298,7,1,"1                             ",4,558,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:35:09.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",14,"                        ","CQ0301        03        ","                ","                ","                ",2038,682,6,6234,0,1,297,5,1,"1                             ",4,557,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:43:27.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",5,"                        ","CQ0301        03        ","                ","                ","                ",10833,756,36,12325,0,2,297,5,1,"1                             ",4,651,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:21:03.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",21,"                        ","s5277-4b      02        ","                ","                ","                ",758,97,3,9882,0,1,202,8,1,"1                             ",4,299,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:43:58.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",31,"                        ","CQ0301        04        ","                ","                ","                ",10906,4957,29,3524,0,7,344,8,1,"1                             ",4,232,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:48:00.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",14,"                        ","CQ0301        03        ","                ","                ","                ",610,161,2,6236,0,1,297,5,1,"1                             ",4,558,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 13:49:22.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",1297,501,6,8332,0,1,202,4,1,"1                             ",4,240,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 14:25:25.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",8,"                        ","CQ0301        03        ","                ","                ","                ",5638,682,18,6066,0,1,298,5,1,"1                             ",4,306,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 14:26:29.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",5,"                        ","CQ0301        03        ","                ","                ","                ",1534,1048,3,12328,0,3,297,5,1,"1                             ",4,654,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 14:29:33.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",21,"                        ","s5277-4b      02        ","                ","                ","                ",3309,801,17,9899,0,1,202,8,1,"1                             ",4,300,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 14:30:27.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",1170,1295,5,8337,0,3,202,4,1,"1                             ",4,243,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 14:34:06.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",14,"                        ","CQ0301        03        ","                ","                ","                ",1590,1176,3,6239,0,4,298,5,1,"1                             ",4,562,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 14:37:15.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",31,"                        ","CQ0301        04        ","                ","                ","                ",1946,1251,4,3528,0,2,344,8,1,"1                             ",4,234,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 14:54:07.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",13,"                        ","CQ0301        03        ","                ","                ","                ",23566,4881,78,10282,0,1,297,5,1,"1                             ",4,569,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 14:58:46.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",1096,603,5,8342,0,1,201,4,1,"1                             ",4,244,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:10:42.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",8,"                        ","CQ0301        03        ","                ","                ","                ",2413,304,7,6073,0,2,297,5,1,"1                             ",4,308,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:17:07.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",2,"                        ","CQ0301        03        ","                ","                ","                ",17664,1431,59,12379,0,1,297,5,1,"1                             ",4,744,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:17:28.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",826,296,3,8345,0,1,201,4,1,"1                             ",4,245,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:23:49.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",13,"                        ","CQ0301        03        ","                ","                ","                ",1572,210,5,10287,0,1,297,5,1,"1                             ",4,570,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:24:43.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",14,"                        ","CQ0301        03        ","                ","                ","                ",2594,443,8,6247,0,1,297,5,1,"1                             ",4,563,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:29:50.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",5,"                        ","CQ0301        03        ","                ","                ","                ",3639,162,11,12339,0,1,297,5,1,"1                             ",4,655,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:42:25.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",21,"                        ","s5277-4b      02        ","                ","                ","                ",2541,1831,12,9911,0,3,202,8,1,"1                             ",4,303,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:45:24.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",22,"                        ","s5277-4b      02        ","                ","                ","                ",1499,177,7,8352,0,1,202,4,1,"1                             ",4,246,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:46:06.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",19,"                        ","CQ0301        02        ","                ","                ","                ",25843,3616,98,9397,0,1,261,5,1,"1                             ",4,252,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:53:08.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",8,"                        ","CQ0301        03        ","                ","                ","                ",2216,330,7,6080,0,1,297,5,1,"1                             ",4,309,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 15:53:57.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",31,"                        ","CQ0301        04        ","                ","                ","                ",3484,1118,10,3538,0,1,344,8,1,"1                             ",4,235,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
2020-07-29 16:02:36.000,"USA                           ","KNITTING-ROOM                 ","LINE-1                        ",14,"                        ","CQ0301        03        ","                ","                ","                ",1307,966,4,6251,0,2,297,5,1,"1                             ",4,565,2020-07-29 07:00:00.000,"                              ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"                              ",NULL,0,"                              "
